0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.43999997,-0.41,-0.36999995,-0.30999997,-0.44999996,-0.3,-0.6300002,-0.59000003,-0.17999998,-0.48,-0.54999995,-0.44999996,-0.31,-0.53999996,-0.5,-0.51,-0.32999998,-0.54999995,-0.54999995,-0.54999995
0.34000006,-0.62,-0.8400001,-0.32999998,0.10000005,-0.24000001,-0.8800001,-0.32999998,-0.92000014,-0.58,-0.039999913,-0.8300002,-0.53,-0.4699999,-0.52,-0.61,-0.08999989,-0.52,-0.73,-0.37999982
-0.26,-0.6,-0.56,-0.4,-0.5500001,-0.3,-0.6,-0.5,-0.56,-0.6,-0.5500001,-0.61,-0.5,-0.56,-0.5,-0.70000005,-0.3,-0.54,-0.70000005,-0.58000004
0.05000002,-0.3,-0.35,-0.32,-0.62000006,-0.12,-0.4,-0.3,-0.25,-0.4,-0.37999994,-0.5,-0.4,-0.35,-0.4,-0.5,-0.15999997,-0.6,-0.4,-0.8200001
-0.24000001,-0.70000005,-0.54,-0.3,-0.70000005,-0.3,-0.5,-0.1,-0.24000001,-0.6,-0.8000001,-0.6,-0.5,-0.44,-0.5,-0.9000001,-0.3,-0.70000005,-0.70000005,-0.8000001
-0.22,-0.4,-0.42,-0.3,-0.70000005,-0.4,-0.70000005,-0.2,-0.62,-0.6,-0.6,-0.6,-0.4,-0.82000005,-0.5,-0.4,-0.4,-0.6,-0.6,-0.6
-0.26,-0.6,-0.35999998,-0.3,-0.45000002,-0.3,-0.6,-0.4,-0.56,-0.70000005,-0.65000004,-0.6700001,-0.4,-0.35999998,-0.5,-0.6,-0.4,-0.68000007,-0.70000005,-0.86000013
-0.45999998,-0.4,-0.45999998,-0.3,-0.39999992,-0.2,-0.6,-0.3,-0.56,-0.4,-0.39999992,-0.76000005,-0.5,-0.35999998,-0.5,-0.5,-0.6,-0.64,-0.6,-0.47999993
-0.45999998,-0.28,-0.48999995,0.20999998,-0.39999998,-0.030000009,-0.70000005,-0.18,-0.18000004,-0.45999998,-0.50000006,-0.43999997,-0.53,-0.71000004,-0.35,-0.29,-0.20000002,-0.50000006,-0.40999997,-0.50000006
-0.32,-0.4,-0.42,-0.4,-0.6,-0.4,-0.5,-0.4,-0.62,-0.4,-0.9000001,-0.3,-0.5,-0.32,-0.3,-0.3,-0.3,-0.6,-0.5,-0.8000001
-0.52,-0.6,-0.52,-0.5,-0.8,-0.4,-0.6,-0.3,-0.32,-0.5,-0.70000005,-0.58000004,-0.70000005,-0.42,-0.70000005,-0.70000005,-0.6,-0.82000005,-0.70000005,-0.74
-0.42,-0.4,-0.42,-0.1,-0.8000001,-0.2,-0.70000005,-0.3,-0.62,-0.4,-0.6,-0.6,-0.4,-0.32,-0.6,-0.5,-0.4,-0.6,-0.4,-0.6
-0.69,-0.3,-0.48999998,-0.5,-0.3199999,-0.4,-0.5,-0.5,-0.48999998,-0.6,-0.19999993,-0.55999994,-0.4,-0.39,-0.5,-0.6,-0.70000005,-0.64,-0.70000005,-0.3399999
-0.50000006,-0.23999998,-0.35999995,-0.3,-0.27999985,-0.4,-0.7400001,-0.70000005,-0.55999994,-0.52,-0.27999985,-0.4999999,-0.53999996,-0.47999993,-0.32,-0.53999996,-0.5,-0.33999988,-0.45999995,-0.35999987
-0.32,-0.4,-0.52,-0.3,-0.5,-0.5,-0.4,-0.3,-0.42,-0.5,-0.4,-0.4,-0.4,-0.42,-0.5,-0.3,-0.5,-0.5,-0.4,-0.3
-0.35,-0.6,-0.25,-0.5,-0.9000001,-0.3,-0.5,-0.4,-0.45,-0.5,-0.8000001,-0.70000005,-0.4,-0.45,-0.5,-0.6,-0.70000005,-0.6,-0.5,-0.5
-0.68,-0.4,-0.58,-0.3,-0.50000006,-0.3,-0.6,-0.3,-0.38,-0.5,-0.6,-0.68000007,-0.5,-0.58,-0.5,-0.5,-0.70000005,-0.62000006,-0.6,-0.74
-0.6000001,-0.5,-0.35999998,-0.56000006,-0.65000015,-0.59000003,-0.42000005,-0.37,-0.62000006,-0.44,-0.45000002,-0.5500001,-0.34000003,-0.37999997,-0.35000002,-0.51000005,-0.55,-0.45000002,-0.25000003,-0.45000002
-0.22,-0.5,-0.42,-0.5,-0.70000005,-0.2,-0.6,-0.4,-0.52,-0.6,-0.6,-0.70000005,-0.4,-0.42,-0.5,-0.70000005,-0.5,-0.8000001,-0.70000005,-0.8000001
-0.44,-0.4,-0.34,-0.5,-0.8000001,-0.3,-0.5,-0.5,-0.54,-0.5,-0.8000001,-0.70000005,-0.3,-0.14,-0.4,-0.5,-0.70000005,-1.0000001,-0.6,-0.8000001
-0.29999992,-0.35999995,-0.11999995,-0.3,-0.5000001,-0.4,-0.5800001,-0.32,-0.21999991,-0.37999994,-0.4999999,-0.29999992,-0.53999996,-0.37999994,-0.53999996,-0.43999997,-0.37999994,-0.39999992,-0.19999993,-0.39999992
-0.38999993,-0.29999998,-0.7600001,-0.44,-0.24999991,-0.19999996,-0.54,-0.54,-0.57,-0.58,-0.42999992,-0.45000005,-0.51,-0.5,-0.57,-0.55,-0.20999998,-0.49000013,-0.55,-0.12999994
